,model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day
78,Renault,97806,230,diesel,black,coupe,True,True,False,True,True,True,True,177
79,Renault,141346,230,diesel,blue,coupe,True,True,True,False,True,True,True,200
80,Peugeot,220101,130,diesel,black,coupe,False,False,False,False,True,False,True,94
81,Citroën,64386,135,diesel,grey,coupe,False,False,False,False,True,True,True,154
82,Citroën,54993,135,diesel,black,coupe,False,False,False,False,False,False,False,136
83,Citroën,152383,135,diesel,black,coupe,True,False,False,False,True,True,True,130
84,Renault,69736,240,petrol,grey,coupe,True,True,True,False,True,True,True,173
85,Citroën,202812,130,diesel,silver,coupe,False,False,False,False,True,False,True,91
86,Renault,69768,230,diesel,black,coupe,True,True,True,False,True,False,True,192
87,Peugeot,220296,130,diesel,black,coupe,False,False,False,False,True,False,True,87
88,Citroën,125965,135,diesel,blue,coupe,False,True,False,False,True,True,True,153
89,Citroën,193330,120,diesel,grey,coupe,True,True,False,False,True,True,True,152
90,Renault,12402,170,hybrid_petrol,grey,coupe,True,True,False,False,False,False,False,309
91,Citroën,147130,135,diesel,black,coupe,False,True,False,False,True,False,True,152
92,Citroën,96260,135,diesel,white,coupe,False,True,False,False,True,True,True,159
93,Peugeot,99283,309,petrol,silver,coupe,False,False,False,False,True,False,True,169
94,Citroën,48431,135,diesel,grey,coupe,True,True,False,True,True,True,True,164
95,PGO,170862,170,diesel,white,coupe,True,False,False,False,True,True,True,96
96,Citroën,100154,135,diesel,grey,coupe,True,True,False,False,True,False,True,150
97,Citroën,187967,120,petrol,grey,coupe,True,True,False,False,False,True,True,56
98,Citroën,39228,135,diesel,grey,coupe,False,False,False,False,True,False,True,121
99,Renault,90763,230,diesel,white,coupe,False,True,True,False,False,True,False,162
100,Citroën,342768,135,diesel,black,coupe,False,True,False,False,True,False,True,91
101,Citroën,188335,130,diesel,grey,coupe,False,False,False,False,True,False,True,93
102,Renault,37619,240,petrol,black,coupe,True,False,False,False,True,True,True,166
103,Citroën,107375,135,diesel,white,coupe,True,True,False,False,True,True,True,154
104,Peugeot,87304,225,petrol,white,coupe,True,True,True,False,True,True,True,153
105,Citroën,33947,135,petrol,grey,coupe,False,True,False,False,True,True,True,167
106,Citroën,61429,135,diesel,black,coupe,True,True,False,False,True,False,True,164
107,Renault,149943,190,petrol,black,coupe,True,True,True,False,True,True,True,102
108,Renault,36139,230,diesel,beige,coupe,True,True,False,False,True,False,True,179
109,Citroën,41353,135,diesel,black,coupe,False,False,False,False,True,True,True,148
110,Renault,121100,230,diesel,black,coupe,True,True,True,True,True,True,True,169
111,Citroën,80540,120,petrol,black,coupe,False,True,False,True,True,False,True,148
112,Renault,126685,230,diesel,black,coupe,True,True,True,True,True,True,True,191
113,Citroën,12634,142,diesel,grey,coupe,True,True,False,False,True,False,True,133
114,Citroën,47902,140,diesel,black,coupe,True,True,False,False,True,True,True,175
115,Renault,63421,230,diesel,blue,coupe,True,True,True,True,True,True,True,214
116,Peugeot,70880,190,diesel,blue,coupe,False,True,False,False,False,True,True,169
117,Citroën,174740,135,diesel,white,coupe,True,True,True,False,True,True,True,150
118,Renault,162327,190,diesel,black,coupe,True,True,False,True,True,True,True,153
119,Citroën,45299,120,diesel,brown,coupe,True,True,False,False,True,False,True,166
120,Citroën,268780,225,petrol,white,coupe,True,True,True,False,True,True,True,114
121,Citroën,61620,120,diesel,blue,coupe,False,True,False,True,True,True,True,164
122,Citroën,116134,135,diesel,grey,coupe,False,True,False,False,True,True,True,148
123,Citroën,46706,120,diesel,blue,coupe,True,True,False,False,True,True,True,155
124,Citroën,260217,120,diesel,grey,coupe,True,True,False,False,True,True,True,92
125,Citroën,143853,120,diesel,black,coupe,True,True,True,False,True,True,True,130
126,Citroën,65008,140,diesel,white,coupe,True,False,True,False,True,True,True,156
127,Citroën,189137,130,diesel,grey,coupe,False,False,False,False,True,False,True,93
128,Citroën,140694,120,diesel,black,coupe,True,True,False,False,True,True,True,135
129,Citroën,202363,120,diesel,black,coupe,True,False,False,False,True,False,True,87
130,Citroën,221500,155,petrol,grey,coupe,True,True,True,False,True,True,True,96
131,Citroën,47876,120,diesel,blue,coupe,True,True,False,False,True,True,True,158
132,Citroën,224613,130,diesel,white,coupe,False,False,False,False,True,False,True,94
133,Citroën,274992,210,diesel,black,coupe,True,True,False,False,True,True,True,138
134,Citroën,91931,135,diesel,black,coupe,False,False,False,True,True,False,True,112
135,Peugeot,23886,110,diesel,red,coupe,False,True,False,False,True,False,True,129
136,Citroën,140464,105,diesel,blue,coupe,False,False,False,False,False,True,True,94
137,Peugeot,50421,100,diesel,grey,coupe,True,True,False,False,False,True,True,131
138,Renault,136545,230,diesel,black,coupe,True,True,True,False,True,True,True,171
139,Peugeot,169970,309,petrol,grey,coupe,True,True,False,False,True,False,True,189
140,PGO,122991,170,diesel,green,coupe,True,True,True,False,True,False,True,106
141,Citroën,102178,120,petrol,grey,coupe,True,False,False,False,True,False,True,103
142,Renault,173302,210,diesel,grey,coupe,True,True,True,False,True,False,True,139
143,Citroën,202811,120,diesel,black,coupe,True,False,False,False,True,False,True,88
144,Citroën,169722,145,diesel,grey,coupe,True,False,False,False,True,False,True,91
145,Citroën,129338,135,diesel,blue,coupe,True,True,False,False,True,False,True,113
146,Citroën,186950,120,petrol,grey,coupe,True,True,False,False,False,True,True,52
147,Peugeot,34463,105,diesel,blue,coupe,False,False,True,False,False,True,True,154
148,Citroën,110818,135,diesel,black,coupe,True,True,True,False,False,False,True,122
149,Citroën,200510,135,diesel,grey,coupe,True,True,False,False,True,False,True,104
150,Renault,161794,190,diesel,black,coupe,True,True,False,True,True,True,True,152
151,Citroën,227832,120,diesel,black,estate,True,False,False,False,False,False,True,73
152,Peugeot,108245,100,diesel,brown,estate,True,True,True,False,False,False,True,108
153,Renault,221018,135,diesel,black,estate,True,True,False,True,True,False,True,128
154,Peugeot,101658,100,diesel,grey,estate,False,True,False,False,False,False,True,107
155,Citroën,163181,120,diesel,grey,estate,False,False,False,False,False,False,True,91
156,Citroën,143180,135,diesel,black,estate,False,True,False,False,True,False,True,114
157,Renault,146310,85,diesel,black,estate,False,False,False,False,False,False,True,87
158,PGO,107560,190,diesel,grey,estate,False,False,False,False,False,False,False,120
159,Peugeot,78425,100,diesel,beige,estate,False,True,False,False,False,False,True,113
160,Renault,95078,140,diesel,black,estate,False,False,False,False,False,False,False,146
161,Renault,246424,120,diesel,black,estate,True,True,False,False,False,False,True,77
162,Peugeot,203950,105,diesel,white,estate,False,True,False,False,False,False,True,89
163,Renault,158002,85,diesel,white,estate,False,False,False,False,False,False,True,94
164,Peugeot,193476,105,diesel,silver,estate,False,False,False,False,False,False,False,81
165,Citroën,209208,135,diesel,black,estate,False,False,False,False,False,False,False,28
166,Renault,135119,85,diesel,white,estate,False,True,False,False,False,False,True,104
167,Renault,199603,120,diesel,blue,estate,True,True,True,False,True,False,True,114
168,Peugeot,41142,105,diesel,blue,estate,False,False,False,False,False,False,False,135
169,Renault,46738,85,diesel,black,estate,False,False,False,False,False,False,False,120
170,Citroën,146639,135,diesel,silver,estate,False,True,False,False,False,False,True,28
171,Renault,159983,85,diesel,grey,estate,False,False,False,False,False,False,False,28
172,Renault,156627,85,diesel,blue,estate,False,True,False,False,False,False,True,95
173,Peugeot,146338,105,diesel,black,estate,False,True,False,False,False,False,True,115
174,Renault,270884,100,diesel,blue,estate,True,False,False,False,False,False,True,33
175,Audi,175096,160,diesel,blue,estate,False,False,False,False,False,False,False,81
176,Citroën,155503,135,diesel,blue,estate,False,True,False,False,False,False,True,110
177,Audi,134094,160,diesel,white,estate,False,False,False,False,False,False,False,126
178,Peugeot,156885,100,diesel,grey,estate,False,False,False,False,False,False,True,101
179,Citroën,302525,100,diesel,grey,estate,False,False,False,False,False,False,True,32
180,Citroën,181052,120,diesel,black,estate,False,True,False,False,False,False,True,107
181,Audi,106054,160,diesel,black,estate,False,True,False,False,False,False,True,137
182,Renault,146528,140,diesel,white,estate,True,True,True,False,False,False,True,136
183,Citroën,183403,135,diesel,grey,estate,False,True,False,False,False,False,True,107
184,Renault,130852,85,diesel,white,estate,False,False,False,False,False,False,False,88
185,Citroën,186697,135,diesel,white,estate,False,False,False,False,False,False,False,49
186,Citroën,132746,135,diesel,white,estate,False,False,False,False,False,False,False,109
187,Citroën,101013,120,diesel,blue,estate,False,True,False,False,False,False,True,28
188,Renault,130019,85,diesel,white,estate,False,False,False,False,False,False,False,28
189,Citroën,90747,160,diesel,grey,estate,False,False,False,False,False,False,False,106
190,Renault,145179,85,diesel,brown,estate,False,True,False,False,False,False,True,97
191,Citroën,87171,135,diesel,silver,estate,False,False,False,False,False,False,False,137
192,Citroën,110212,135,diesel,black,estate,False,False,False,False,False,False,False,95
193,Peugeot,11917,110,diesel,white,estate,False,False,False,False,False,False,False,153
194,Peugeot,12508,110,diesel,white,estate,False,False,False,False,False,False,False,154
195,PGO,149525,190,diesel,silver,estate,False,False,False,False,False,False,False,124
196,Peugeot,122357,105,diesel,grey,estate,False,True,False,False,False,False,True,117
197,Citroën,165516,135,diesel,blue,estate,False,False,False,False,False,False,True,28
198,Peugeot,158853,100,diesel,black,estate,True,False,False,False,False,False,True,104
199,Peugeot,167280,105,diesel,white,estate,False,True,False,False,False,False,True,115
200,Citroën,69978,135,diesel,grey,estate,False,False,False,False,False,False,False,134
201,Peugeot,105105,105,diesel,white,estate,False,False,False,False,False,False,False,77
202,Peugeot,170164,105,diesel,grey,estate,False,True,False,False,False,False,True,28
203,Peugeot,153585,105,diesel,white,estate,False,False,False,False,False,False,False,117
204,Audi,156127,190,diesel,black,estate,True,True,False,False,True,True,True,133
205,Citroën,117722,122,diesel,black,estate,False,False,False,False,False,False,True,96
206,Citroën,236095,135,diesel,blue,estate,False,False,False,False,False,False,True,78
207,Renault,142031,85,diesel,black,estate,False,True,False,False,False,False,True,114
208,Peugeot,150807,105,diesel,black,estate,False,True,False,False,False,False,True,107
209,Peugeot,185085,105,diesel,white,estate,False,True,False,False,False,False,True,96
210,Citroën,163879,120,diesel,grey,estate,False,False,False,False,False,False,True,93
211,Audi,137744,200,petrol,black,estate,False,True,True,False,True,False,False,142
212,Renault,94829,85,diesel,grey,estate,False,False,False,False,False,False,False,112
213,PGO,127461,190,diesel,silver,estate,False,True,False,False,False,False,True,28
214,Citroën,58673,135,diesel,grey,estate,False,False,False,False,False,False,False,135
215,Citroën,183683,135,diesel,black,estate,False,False,False,False,False,False,True,35
216,Citroën,153236,135,diesel,blue,estate,False,True,False,True,False,False,True,109
217,Peugeot,65933,105,diesel,white,estate,False,False,False,False,False,False,False,123
218,Citroën,77419,120,diesel,grey,estate,False,False,False,False,False,False,False,110
219,Citroën,170322,120,diesel,black,estate,False,False,False,False,False,False,False,113
220,Renault,83133,85,diesel,white,estate,False,True,False,False,False,False,True,120
221,Citroën,140324,135,diesel,silver,estate,False,False,False,False,False,False,False,88
222,Peugeot,147097,105,diesel,black,estate,False,False,False,False,False,False,False,28
223,Peugeot,132871,85,diesel,grey,estate,True,False,False,False,False,False,True,66
224,Peugeot,109741,100,diesel,grey,estate,True,True,False,False,False,False,True,110
225,Citroën,168016,135,diesel,red,estate,False,True,False,False,True,True,True,110
226,Renault,238036,120,diesel,black,estate,True,True,False,False,False,False,True,114
227,Renault,147228,85,diesel,silver,estate,True,True,False,False,False,False,True,103
228,Audi,159659,190,diesel,black,estate,True,True,False,True,True,True,True,142
229,Peugeot,123340,105,diesel,brown,estate,False,True,False,False,False,True,True,119
230,Peugeot,168068,100,diesel,grey,estate,False,True,False,False,False,False,True,89
231,Citroën,163601,120,diesel,beige,estate,False,True,False,False,False,False,True,108
232,Citroën,149108,135,diesel,white,estate,False,True,True,False,False,False,True,106
233,Renault,173446,135,diesel,black,estate,True,True,False,False,True,False,True,125
234,Citroën,197516,135,diesel,black,estate,True,True,False,False,False,False,True,100
235,Peugeot,170832,100,diesel,blue,estate,True,True,False,False,False,False,True,101
236,Citroën,149085,135,diesel,black,estate,True,True,False,False,True,False,True,122
237,Audi,255957,230,diesel,grey,estate,True,True,True,True,True,True,True,133
238,Renault,175024,135,diesel,blue,estate,True,True,True,False,True,True,True,117
239,Peugeot,132731,100,diesel,grey,estate,True,True,False,False,False,False,True,112
240,Audi,214691,120,diesel,black,estate,True,True,False,False,True,False,True,71
241,Citroën,177568,120,diesel,brown,estate,False,True,False,False,False,False,True,101
242,Citroën,106878,135,diesel,white,estate,False,True,False,False,True,True,True,124
243,Peugeot,144727,105,diesel,white,estate,False,True,True,False,True,True,True,120
244,Audi,46731,140,diesel,blue,estate,False,False,False,False,False,False,False,109
245,Citroën,150969,135,diesel,blue,estate,False,False,False,False,False,False,True,28
246,Peugeot,164900,100,diesel,silver,estate,False,True,False,False,False,False,True,85
247,Peugeot,150002,100,diesel,red,estate,False,True,False,False,False,True,True,103
248,Renault,117872,85,diesel,black,estate,True,True,False,False,False,False,True,102
249,Citroën,66314,135,diesel,white,estate,False,False,False,False,False,False,False,127
250,Peugeot,216114,105,diesel,blue,estate,False,True,False,False,False,False,True,99
251,Peugeot,159505,100,diesel,grey,estate,False,False,False,False,False,False,True,100
252,Citroën,221904,100,diesel,blue,estate,True,False,False,False,True,False,True,35
253,Renault,147243,120,diesel,blue,estate,True,True,True,False,True,False,True,128
254,Audi,140638,160,diesel,black,estate,True,True,False,False,True,True,True,133
255,Citroën,123796,135,diesel,black,estate,True,True,False,False,True,True,True,125
256,Renault,201102,85,diesel,black,estate,True,False,False,False,False,False,True,94
257,Peugeot,238592,90,diesel,grey,estate,False,True,False,False,False,False,True,62
258,Peugeot,182798,105,diesel,white,estate,True,False,False,False,False,False,True,102
259,Peugeot,116868,105,diesel,white,estate,False,True,False,False,True,False,True,117
260,Peugeot,64486,100,diesel,blue,estate,True,True,False,False,False,False,True,111
261,Peugeot,167013,100,diesel,black,estate,True,True,False,False,False,False,True,111
262,Peugeot,319724,90,diesel,grey,estate,True,False,False,False,False,False,True,55
263,Citroën,103683,120,diesel,black,estate,True,True,True,False,False,False,True,102
264,Citroën,73416,120,diesel,blue,estate,False,True,False,False,False,False,True,130
265,Renault,142724,120,diesel,black,estate,True,True,False,False,True,False,True,122
266,Citroën,127017,120,diesel,grey,estate,False,True,False,False,False,False,True,114
267,Citroën,151391,120,diesel,grey,estate,False,True,False,False,False,True,True,123
268,Renault,88985,135,diesel,grey,estate,True,True,False,False,True,False,True,135
269,Citroën,186684,120,diesel,brown,estate,True,True,False,False,False,False,True,107
270,Renault,156756,120,diesel,black,estate,True,True,False,False,False,False,True,117
271,Citroën,236259,135,diesel,blue,estate,False,False,False,False,False,False,True,80
272,Citroën,233375,135,diesel,black,estate,False,True,False,False,False,False,True,98
273,Peugeot,195032,100,diesel,grey,estate,False,False,False,False,False,False,True,70
274,Peugeot,228885,100,diesel,grey,estate,True,True,True,False,False,False,True,77
275,Renault,214613,85,diesel,white,estate,False,True,False,False,False,False,True,91
276,Peugeot,154190,105,diesel,black,estate,False,True,False,False,True,False,True,106
277,Citroën,243093,110,diesel,grey,estate,True,False,False,False,False,False,True,37
278,Peugeot,79526,105,diesel,white,estate,False,False,False,False,False,False,False,122
279,Citroën,169449,135,diesel,brown,estate,True,False,False,False,False,False,True,103
280,Renault,157968,120,diesel,grey,estate,True,True,True,False,True,False,True,119
281,Citroën,161034,120,diesel,black,estate,True,True,False,False,True,True,True,122
282,Peugeot,197704,100,diesel,brown,estate,False,True,False,False,False,False,True,97
283,Renault,83268,85,diesel,brown,estate,False,True,False,False,True,False,True,111
284,Citroën,139999,120,diesel,blue,estate,False,True,False,False,True,True,True,122
285,Peugeot,139649,105,diesel,white,estate,False,True,False,False,False,False,True,99
286,Citroën,173160,122,diesel,grey,estate,True,True,False,False,True,False,True,114
287,Peugeot,80340,100,diesel,grey,estate,False,True,False,False,False,False,True,115
288,Audi,234787,230,diesel,black,estate,True,True,False,True,True,True,True,139
289,Peugeot,181297,105,diesel,brown,estate,False,True,False,False,True,True,True,115
290,Audi,223829,190,diesel,black,estate,True,True,True,True,True,False,True,144
291,Renault,163675,135,diesel,brown,estate,True,True,True,False,True,False,True,122
292,Citroën,110136,120,diesel,white,estate,True,True,False,False,True,True,True,133
293,Audi,230212,150,diesel,blue,estate,True,True,False,False,True,True,True,119
294,Peugeot,125974,105,diesel,grey,estate,False,True,False,False,False,False,True,117
295,Renault,93866,140,diesel,black,estate,False,False,False,False,False,False,False,142
296,Audi,151555,230,diesel,blue,estate,True,True,True,False,True,False,True,149
297,Renault,132522,140,diesel,black,estate,True,True,False,False,False,True,True,144
298,Citroën,150534,135,diesel,brown,estate,False,False,False,False,False,True,True,106
299,Renault,194410,85,diesel,black,estate,False,True,False,False,True,False,True,92
300,Peugeot,161581,105,diesel,blue,estate,True,True,True,False,True,False,True,114
301,Citroën,194748,120,diesel,black,estate,False,True,False,False,True,False,True,110
302,Renault,165274,135,diesel,silver,estate,False,True,False,False,True,False,True,128
303,Renault,188155,135,diesel,black,estate,False,True,False,False,True,False,True,122
304,Renault,130335,135,diesel,grey,estate,True,True,False,False,False,False,True,121
305,Audi,148738,230,diesel,grey,estate,True,True,True,False,False,False,True,170
306,Renault,127511,140,diesel,black,estate,True,True,False,False,True,False,True,141
307,Audi,187176,190,diesel,black,estate,False,True,False,True,True,False,True,141
308,Citroën,111523,120,diesel,black,estate,False,False,False,False,False,False,False,125
309,Audi,218341,120,diesel,grey,estate,True,True,True,False,False,False,True,73
310,Audi,172496,190,diesel,black,estate,True,True,True,False,True,False,True,141
311,Citroën,149390,135,diesel,white,estate,False,True,True,False,False,False,True,107
312,Citroën,171848,120,diesel,black,estate,False,True,False,False,True,False,False,113
313,Citroën,180574,135,diesel,white,estate,False,True,False,True,True,False,True,121
314,Peugeot,243386,105,diesel,white,estate,False,True,False,False,False,False,True,88
315,Audi,123622,190,diesel,black,estate,True,True,True,True,True,False,True,160
316,Citroën,94654,135,diesel,black,estate,False,True,False,True,True,True,True,133
317,Audi,164621,190,diesel,white,estate,True,True,True,True,True,True,True,160
318,Audi,86420,160,diesel,brown,estate,False,True,False,True,True,True,True,163
319,Citroën,200121,135,diesel,black,estate,False,True,False,False,False,False,True,107
320,Audi,92856,190,diesel,blue,estate,True,True,False,True,True,False,True,160
321,Citroën,75373,135,diesel,blue,estate,False,False,False,False,False,False,False,141
322,Citroën,152137,135,diesel,black,estate,False,True,False,False,False,False,True,108
323,Peugeot,165851,105,diesel,grey,estate,True,True,False,False,False,False,True,104
324,Citroën,171266,120,diesel,white,estate,True,True,False,False,True,True,True,127
325,Renault,161666,135,diesel,black,estate,False,True,True,False,True,False,True,123
326,Citroën,229128,135,diesel,white,estate,True,True,False,False,True,True,True,114
327,Audi,130500,160,diesel,silver,estate,False,True,False,False,False,False,True,28
328,Renault,168180,135,diesel,black,estate,True,True,False,False,True,True,True,126
329,Citroën,106596,135,diesel,black,estate,False,True,False,False,False,False,True,112
330,Peugeot,164889,105,diesel,grey,estate,False,True,False,False,False,False,True,28
331,Citroën,165599,135,diesel,black,estate,True,True,False,False,True,False,True,128
332,Audi,159773,190,diesel,grey,estate,False,True,False,True,True,False,True,117
333,Renault,212710,110,diesel,black,estate,True,True,False,False,False,False,True,71
334,Citroën,151246,135,diesel,silver,estate,False,True,False,False,True,True,True,115
335,Renault,84734,85,diesel,grey,estate,False,True,False,False,False,False,True,112
336,Audi,121436,230,diesel,black,estate,False,True,True,True,True,True,True,177
337,Citroën,47771,135,diesel,silver,estate,False,True,False,False,False,False,True,114
338,Renault,164998,85,diesel,black,estate,True,True,False,False,False,False,True,105
339,Peugeot,129901,105,diesel,blue,estate,False,True,False,False,False,False,True,28
340,Renault,109391,140,diesel,grey,estate,True,True,False,True,True,True,True,160
341,Peugeot,185141,105,diesel,grey,estate,False,True,False,False,False,False,True,106
342,Audi,140904,190,diesel,white,estate,False,True,True,False,True,True,True,144
343,Peugeot,109195,105,diesel,white,estate,False,True,False,False,True,False,True,114
344,Peugeot,129181,100,diesel,grey,estate,True,True,False,False,False,False,True,103
345,Citroën,99600,120,diesel,blue,estate,False,True,False,False,False,False,True,120
346,Citroën,75254,120,diesel,blue,estate,True,True,False,False,True,False,True,122
347,Peugeot,124822,100,diesel,black,estate,False,True,False,False,False,False,True,102
348,Peugeot,198759,105,diesel,blue,estate,False,True,False,False,False,False,True,97
349,Citroën,125928,135,diesel,silver,estate,False,True,True,False,False,False,True,117
350,Peugeot,95636,105,diesel,white,estate,True,True,False,False,True,False,True,120
351,Citroën,121742,135,diesel,blue,estate,False,True,True,False,True,True,True,124
352,Peugeot,217330,90,diesel,black,estate,True,True,False,False,False,False,True,71
353,Citroën,109620,120,diesel,grey,estate,False,True,False,False,True,True,True,124
354,Peugeot,190639,105,diesel,brown,estate,False,True,False,False,True,True,True,96
355,Citroën,136093,135,diesel,white,estate,True,True,True,False,False,False,True,116
356,Renault,146879,85,diesel,brown,estate,False,True,False,False,False,False,True,99
357,Citroën,191556,122,diesel,blue,estate,False,True,False,False,True,True,True,112
358,Renault,147891,135,diesel,black,estate,False,True,False,True,True,False,True,131
359,Peugeot,198084,105,diesel,blue,estate,False,True,False,False,False,False,True,98
360,Renault,80403,140,diesel,black,estate,False,False,False,False,False,False,False,141
361,Citroën,106442,135,diesel,black,estate,False,True,False,True,False,False,True,132
362,Renault,123353,135,diesel,silver,estate,False,True,False,False,True,False,True,132
363,Renault,161432,135,diesel,black,estate,False,True,True,False,True,False,True,122
